id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,image filename or link
b5c8beca-1d8e-4378-90fa-19c5cf61c53b,38.70007664,-9.194290967,,,,,,,,,,,,
735f9ef8-6831-4da3-be0b-c87813622c84,38.69857828,-9.217657341,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP2,RSH1,RMN,,
b2c8d21f-6df3-4c9d-affb-fa2e4bdbc298,38.71118915,-9.19304865,,,,,,,,,,,,
953df89a-3cbe-4503-9490-c04c29fc4254,38.70026528,-9.190243954,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP1,RSH1,RMN,,
398c17e3-33bd-4834-8de0-d964a4c999e8,38.70308863,-9.18227548,Portugal,Lisbon,HYB(MCF;MUR),LFM,CDL,5,MIX(RES;COM),BP1,RSH1,RMN,,
9211d848-0408-428a-b987-3cfe44c7ead0,38.706047,-9.18546215,Portugal,Lisbon,CR,LFM,CDH,4,RES,BP2,RSH1,RMN,,
5a4a021b-2915-45fa-a6d1-79d7df47abf5,38.70722277,-9.175135642,Portugal,Lisbon,MCF,LWAL,CDH,1,RES,BPD,RSH1,RMN,,
96295b7a-f213-42d1-b01d-38e66de037ff,38.7011457,-9.205029321,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
42493c5e-cd7e-4ac6-ace0-c300fa98cf59,38.70121294,-9.209637852,Portugal,Lisbon,S,LFM,CDH,1,RES,BPD,RSH1,RMN,,
491b47a3-90da-4a07-8d9b-de66e4c15cfb,38.70514661,-9.213491897,Portugal,Lisbon,MUR,LWAL,CDN,3,RES,BP2,RSH1,RMN,,
321784f3-7820-4639-b9d4-183b140a9573,38.70464647,-9.203354251,Portugal,Lisbon,CR,LFM,CDL,4,RES,BP2,RSH2,RMT1,,
a3dfd865-a67c-491a-b223-3a5950956b5b,38.70695858,-9.200415884,,,,,,,,,,,,
c7c88dc8-812e-4a02-b0b5-eb1b7b307745,38.70954696,-9.192667236,,,,,,,,,,,,
79aa6bf0-0f40-4591-9863-8e1212a30b07,38.70560952,-9.210858895,,,,,,,,,,,,
f92bc6d0-7868-4cb9-8628-7ef44fa19599,38.69762123,-9.193877682,Portugal,Lisbon,MUR,LWAL,CDN,3,COM,BP2,RSH1,RMN,,
6319ae3c-9cfa-4696-b445-8ef023171a2a,38.70138969,-9.204443953,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH1,RMN,,
27801b92-b45b-4615-999c-dab08b041b5e,38.70316796,-9.203285964,Portugal,Lisbon,CR,LFM,CDL,5,RES,BP3,RSH1,RMN,,
cf95d90a-c4d7-4020-9735-b25730c9a5cf,38.70608659,-9.179722356,Portugal,Lisbon,CR,LFM,CDL,4,RES,BP1,RSH1,RMN,,
e8515ed2-37d9-4244-b572-a60a1734823a,38.70024983,-9.200565344,,,,,,,,,,,,
51337fe5-60ad-4878-ad69-4c44d631343a,38.7107446,-9.196586249,Portugal,Lisbon,CR,LDUAL,CDM,10/dez,COM,BP1,RSH1,RMN,,
bac080fd-57b7-426e-b291-43204b853d45,38.7021869,-9.185057521,,,,,,,,,,,,
c77cc1e7-5c34-4efd-9557-d9dbd91e890a,38.70235334,-9.188798508,,,,,,,,,,,,
38adf692-8dbf-40dc-8ba7-cbd4a64d782d,38.70034886,-9.192963642,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH1,RMN,,
9e2734ba-ce3e-4426-a491-c2106d7c0e82,38.71440575,-9.1798635,,,,,,,,,,,,
bb6829c4-de9e-407e-99e4-60aeab2500ac,38.69965907,-9.205534942,,,,,,,,,,,,
42983fba-ae24-4516-aedf-a952bab8ca58,38.69287793,-9.209888414,Portugal,Lisbon,S,LFM,CDH,1,RES,BPD,RSH2,RMT1,,
a864fec4-83c1-407e-95da-4aef090f8fd9,38.70046158,-9.184007986,Portugal,Lisbon,S,LFM,CDM,4,COM,BP2,RSH2,RMT1,,
828801bf-6719-4244-b744-b8be6a51066e,38.7124054,-9.2048898,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
cb3a9d87-ea75-4cdd-b878-838d89232556,38.71090881,-9.195051075,,,,,,,,,,,,
12a91ec3-17c3-4325-8319-891fc223b96c,38.70744583,-9.214516963,,,,,,,,,,,,
0fe7c606-1dab-4f11-a565-06303d475220,38.70041454,-9.187633477,,,,,,,,,,,,
aee29bd4-57ec-4ef3-adeb-8f40e31ef57e,38.7134831,-9.208348429,Portugal,Lisbon,MCF,LWAL,CDH,2,RES,BP1,RSH1,RMN,,
e9de3ee5-7c98-4965-b9a3-6e3c12c7b1a3,38.70226976,-9.196387046,Portugal,Lisbon,CR,LFM,CDM,4,RES,BP2,RSH1,RMN,,
be59474b-cc24-43df-8d49-1640df8a7524,38.70002175,-9.188630581,,,,,,,,,,,,
cadd0291-9721-4b56-8ed0-2b4199f006db,38.70811902,-9.196056937,,,,,,,,,,,,
2d077dbd-3bba-4be0-a251-b9040584e263,38.71078832,-9.219736539,,,,,,,,,,,,
1726ef22-baa0-4e85-ad2f-8f6ad100c489,38.70167031,-9.178699492,,,,,,,,,,,,
a85f0f9e-ff1b-4086-9942-920adae110b4,38.71212362,-9.215923641,,,,,,,,,,,,
55a968ae-74f4-4cdb-9343-02e12c88bd0a,38.69951596,-9.22042128,,,,,,,,,,,,
